Architecture/STREAM fee/FEE structure/NONE in/NONE Maulana Azad Institute of Dental Sciences - [MAIDS], New Delhi

Arts/STREAM fee/FEE structure/NONE in/NONE Manipal College of Dental Sciences - [MCODS], Mangalore

Aviation/STREAM fee/FEE structure/NONE in/NONE SDM College of Dental Sciences and Hospital Sattur, Dharwad

Commerce/STREAM fee/FEE structure/NONE in/NONE Dayananda Sagar College of Engineering - [DSCE], Bangalore

Computer/STREAM Application/STREAM fee/FEE structure/NONE in/NONE Government Dental College & Hospital, Mumbai

Dental/STREAM fee/FEE structure/NONE in/NONE Pt Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences - [PGIMS], Rohtak

Design/STREAM fee/FEE structure/NONE in/NONE Sri Balaji Chockalingam Engineering College, Tiruvannamalai

Education/STREAM fee/FEE structure/NONE in/NONE Hindustan Institute of Technology and Science - [HITS], Chennai

Engineering/STREAM fee/FEE structure/NONE in/NONE Dr. R. Ahmed Dental College and Hospital, Kolkata

Law/STREAM fee/FEE structure/NONE in/NONE SRM Dental College, Chennai

Management/STREAM fee/FEE structure/NONE in/NONE Rukmini Devi Institute of Advanced Studies - [RDIAS], New Delhi

Mass/STREAM Communication/STREAM and/STREAM Media/STREAM fee/FEE structure/NONE in/NONE Christian Medical College - [CMC], Vellore

Medical/STREAM fee/FEE structure/NONE in/NONE Armed Forces Medical College - [AFMC], Pune

Paramedical/STREAM fee/FEE structure/NONE in/NONE SRM University Kattankulathur Campus - [SRM], Kanchipuram

Pharmacy/STREAM fee/FEE structure/NONE in/NONE Acharya and BM Reddy College of Pharmacy, Bangalore

Veterinary/STREAM Sciences/STREAM fee/FEE structure/NONE in/NONE Indian Institute of Technology Madras - [IITM], Chennai

btech/SUBSTR fee/FEE structure/NONE in/NONE Indian Institute of Technology - [IIT], Mumbai

mtech/SUBSTR fee/FEE structure/NONE in/NONE International Institute of Information Technology - [IIIT], Hyderabad

